"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",111,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",12,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",90,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",102,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",116,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",7,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",127,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",96,,
"14_SAT_LIFE_1","1","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",14,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",223,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",68,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",44,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",8,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",59,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",17,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",30,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",239,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",14,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",6,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y_GE75","75 anni e più","2022","2022",67,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y18-19","18-19 anni","2022","2022",13,,
"14_SAT_LIFE_4","4","THV","valori in migliaia","9","totale","Y14-17","14-17 anni","2022","2022",20,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",44,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",18,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",529,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",16,,
"14_SAT_LIFE_2","2","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",20,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y_GE14","14 anni e più","2022","2022",348,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",95,,
"14_SAT_LIFE_0","0","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",70,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",52,,
"14_SAT_LIFE_3","3","THV","valori in migliaia","9","totale","Y65-74","65-74 anni","2022","2022",68,,
